ContigID	GOSlim_bin
gi|379117313|gb|JT014983.1|	transport
gi|379124329|gb|JT021999.1|	RNA metabolism
gi|379108648|gb|JT006318.1|	cell cycle and proliferation
gi|379119504|gb|JT017174.1|	cell adhesion
gi|379088367|gb|JR986036.1|	other biological processes
gi|379107809|gb|JT005479.1|	developmental processes
gi|379075826|gb|JR973495.1|	transport
gi|379082695|gb|JR980364.1|	other biological processes
gi|379117569|gb|JT015239.1|	protein metabolism
gi|379088279|gb|JR985948.1|	transport
gi|379109508|gb|JT007178.1|	other metabolic processes
gi|379114413|gb|JT012083.1|	signal transduction
gi|379106384|gb|JT004054.1|	other biological processes
gi|379111297|gb|JT008967.1|	other biological processes
gi|379095574|gb|JR993243.1|	stress response
gi|379084978|gb|JR982647.1|	other biological processes
gi|379093495|gb|JR991164.1|	protein metabolism
gi|379078813|gb|JR976482.1|	transport
gi|379099209|gb|JR996878.1|	other metabolic processes
gi|379080842|gb|JR978511.1|	other biological processes
gi|379079698|gb|JR977367.1|	other biological processes
gi|379110269|gb|JT007939.1|	cell organization and biogenesis
gi|379074488|gb|JR972157.1|	other biological processes
gi|379083647|gb|JR981316.1|	other metabolic processes
gi|379099152|gb|JR996821.1|	other biological processes
gi|379072979|gb|JR970648.1|	cell cycle and proliferation
gi|379074104|gb|JR971773.1|	other metabolic processes
gi|379105483|gb|JT003153.1|	RNA metabolism
gi|379088909|gb|JR986578.1|	death
gi|379106522|gb|JT004192.1|	cell-cell signaling
gi|379096238|gb|JR993907.1|	cell cycle and proliferation
gi|379077745|gb|JR975414.1|	signal transduction
gi|379076570|gb|JR974239.1|	signal transduction
gi|379080756|gb|JR978425.1|	transport
gi|379105899|gb|JT003569.1|	other biological processes
gi|379113638|gb|JT011308.1|	protein metabolism
gi|379125154|gb|JT022824.1|	protein metabolism
gi|379075905|gb|JR973574.1|	cell adhesion
gi|379117591|gb|JT015261.1|	other biological processes
gi|379097319|gb|JR994988.1|	cell cycle and proliferation
gi|379115793|gb|JT013463.1|	protein metabolism
gi|379105843|gb|JT003513.1|	cell organization and biogenesis
gi|379108599|gb|JT006269.1|	signal transduction
gi|379096468|gb|JR994137.1|	transport
gi|379091880|gb|JR989549.1|	protein metabolism
gi|379092947|gb|JR990616.1|	RNA metabolism
gi|379089880|gb|JR987549.1|	stress response
gi|379102642|gb|JT000312.1|	developmental processes
gi|379108949|gb|JT006619.1|	other metabolic processes
gi|379121039|gb|JT018709.1|	signal transduction
gi|379099553|gb|JR997222.1|	death
gi|379097839|gb|JR995508.1|	other biological processes
gi|379086012|gb|JR983681.1|	signal transduction
gi|379102406|gb|JT000076.1|	DNA metabolism
gi|379116677|gb|JT014347.1|	other biological processes
gi|379102679|gb|JT000349.1|	protein metabolism
gi|379116325|gb|JT013995.1|	other metabolic processes
gi|379084926|gb|JR982595.1|	signal transduction
gi|379121764|gb|JT019434.1|	RNA metabolism
gi|379090998|gb|JR988667.1|	death
gi|379092690|gb|JR990359.1|	transport
gi|379105047|gb|JT002717.1|	protein metabolism
gi|379075044|gb|JR972713.1|	other metabolic processes
gi|379105708|gb|JT003378.1|	developmental processes
gi|379102141|gb|JR999810.1|	other biological processes
gi|379115935|gb|JT013605.1|	developmental processes
gi|379084051|gb|JR981720.1|	other biological processes
gi|379095799|gb|JR993468.1|	protein metabolism
gi|379075358|gb|JR973027.1|	other biological processes
gi|379084651|gb|JR982320.1|	other biological processes
gi|379123280|gb|JT020950.1|	developmental processes
gi|379084451|gb|JR982120.1|	signal transduction
gi|379079531|gb|JR977200.1|	other biological processes
gi|379094632|gb|JR992301.1|	other metabolic processes
gi|379074714|gb|JR972383.1|	cell cycle and proliferation
gi|379087528|gb|JR985197.1|	transport
gi|379118535|gb|JT016205.1|	DNA metabolism
gi|379106280|gb|JT003950.1|	transport
gi|379099938|gb|JR997607.1|	cell cycle and proliferation
gi|379090331|gb|JR988000.1|	protein metabolism
gi|379116921|gb|JT014591.1|	protein metabolism
gi|379112222|gb|JT009892.1|	cell adhesion
gi|379085642|gb|JR983311.1|	signal transduction
gi|379112605|gb|JT010275.1|	cell adhesion
gi|379080462|gb|JR978131.1|	transport
gi|379074752|gb|JR972421.1|	stress response
gi|379090926|gb|JR988595.1|	transport
gi|379124322|gb|JT021992.1|	transport
gi|379090703|gb|JR988372.1|	protein metabolism
gi|379079249|gb|JR976918.1|	cell adhesion
gi|379083882|gb|JR981551.1|	other biological processes
gi|379088912|gb|JR986581.1|	developmental processes
gi|379092885|gb|JR990554.1|	other metabolic processes
gi|379080002|gb|JR977671.1|	protein metabolism
gi|379077188|gb|JR974857.1|	death
gi|379112492|gb|JT010162.1|	transport
gi|379073661|gb|JR971330.1|	developmental processes
gi|379118570|gb|JT016240.1|	stress response
gi|379118979|gb|JT016649.1|	cell organization and biogenesis
gi|379119679|gb|JT017349.1|	signal transduction
gi|379095657|gb|JR993326.1|	cell cycle and proliferation
gi|379099002|gb|JR996671.1|	other metabolic processes
gi|379100671|gb|JR998340.1|	protein metabolism
gi|379106457|gb|JT004127.1|	cell organization and biogenesis
gi|379097516|gb|JR995185.1|	other biological processes
gi|379093146|gb|JR990815.1|	other biological processes
gi|379090270|gb|JR987939.1|	stress response
gi|379077234|gb|JR974903.1|	other biological processes
gi|379110557|gb|JT008227.1|	developmental processes
gi|379102443|gb|JT000113.1|	transport
gi|379089807|gb|JR987476.1|	developmental processes
gi|379089158|gb|JR986827.1|	signal transduction
gi|379083492|gb|JR981161.1|	other biological processes
gi|379092160|gb|JR989829.1|	other metabolic processes
gi|379121476|gb|JT019146.1|	transport
gi|379105475|gb|JT003145.1|	DNA metabolism
gi|379075905|gb|JR973574.1|	developmental processes
gi|379088400|gb|JR986069.1|	other biological processes
gi|379088425|gb|JR986094.1|	other biological processes
gi|379120601|gb|JT018271.1|	DNA metabolism
gi|379105096|gb|JT002766.1|	other biological processes
gi|379102829|gb|JT000499.1|	RNA metabolism
gi|379098936|gb|JR996605.1|	transport
gi|379077195|gb|JR974864.1|	transport
gi|379122415|gb|JT020085.1|	other metabolic processes
gi|379094738|gb|JR992407.1|	cell organization and biogenesis
gi|379083666|gb|JR981335.1|	transport
gi|379089248|gb|JR986917.1|	other biological processes
gi|379091979|gb|JR989648.1|	signal transduction
gi|379077033|gb|JR974702.1|	transport
gi|379073129|gb|JR970798.1|	transport
gi|379089222|gb|JR986891.1|	other metabolic processes
gi|379079978|gb|JR977647.1|	transport
gi|379087452|gb|JR985121.1|	cell-cell signaling
gi|379086100|gb|JR983769.1|	developmental processes
gi|379097846|gb|JR995515.1|	cell-cell signaling
gi|379112170|gb|JT009840.1|	protein metabolism
gi|379120832|gb|JT018502.1|	protein metabolism
gi|379109258|gb|JT006928.1|	death
gi|379101439|gb|JR999108.1|	RNA metabolism
gi|379080051|gb|JR977720.1|	developmental processes
gi|379124919|gb|JT022589.1|	protein metabolism
gi|379074506|gb|JR972175.1|	protein metabolism
gi|379121745|gb|JT019415.1|	developmental processes
gi|379113663|gb|JT011333.1|	other biological processes
gi|379104342|gb|JT002012.1|	RNA metabolism
gi|379074665|gb|JR972334.1|	cell organization and biogenesis
gi|379080936|gb|JR978605.1|	protein metabolism
gi|379076146|gb|JR973815.1|	cell cycle and proliferation
gi|379086662|gb|JR984331.1|	transport
gi|379118208|gb|JT015878.1|	protein metabolism
gi|379119274|gb|JT016944.1|	RNA metabolism
gi|379121978|gb|JT019648.1|	developmental processes
gi|379091400|gb|JR989069.1|	other metabolic processes
gi|379085563|gb|JR983232.1|	other metabolic processes
